series_key,initial_tolerance_mm,effective_tolerance_mm,pylidc_annotation_count,cluster_count
0d617e1c6ad2694577f4b3fb98e8b30c604d7b64a31dc4ae3df17cb218feb872,3.0,3.0,4,2
0d8310d2895c3b52a676c8c7c1367684aa7144e3b12d34b769764efd668a8014,2.5,2.5,8,2
0dc3fbf341804f99ae91f18f124b9dfcebf4bdcb06e10fe514e2fd4abf5ff25b,2.5,2.5,0,0
0e3eb0a90c137d1d3632209fbd600c6bd63aa783d23081359b24dedab52ebffa,3.0,3.0,5,2
0e5d3dfd5be1114a60bc10f8b3d06052b59248f4f8212077607e98bff0b97751,1.25,1.25,4,1
0ef41a8f8d5f495d51d41cc88b160d32ee66adc894de01b010499db96869c93f,2.5,2.5,6,2
0f7f8c991ea414084a4d67dbf2ba940d22dc60256d078e4ca90943ec207a21b0,0.75,0.75,21,9
0fa2400dd15f109e5354cfd32304e294ea660b79d518963382c4f58504af9a81,1.0,1.0,32,11
0fd94d661b6d3cde304fb37ca2134cb2366d48a64918c059df172d29b830685b,2.5,2.5,9,3
1036eab32d673aa4e465bb2aa97fcb99e08a6e4b31ce0cb02454a11819378610,1.25,1.25,3,1
11fa486e75356d924fa39b1e2f044ca407b2b36072e5e066a640d4c439bfe932,3.0,3.0,4,1
1200e886e747ee7071b9bd37bce10d9830f90ec2921d80f54d9965f832fb438c,2.0,2.0,5,2
125f9d4abf69f6f0f39607d4b453fef104ad94308e7b47100c4b30dc86fc496c,3.0,3.0,1,1
12674c901ce5d1986a1b295391f48327fd7ca2bd03ec5e5eb73574dd66026bd3,1.25,1.25,20,13
1287acdbfb8c01c77d249282c906f86cec7f7ec07e1cde86281654c858525a1d,3.0,3.0,4,1
128fbae1955d44c5dd2223a990fd9f1edfcc100945de3d90af2dde339db882cd,2.5,2.5,0,0
132cfeb0b705a2634327f9903de24ce047a5dc5be2bb3c9abfffeabc34772e5c,3.0,3.0,5,2
1333130b82059d4ae41eb2d68fb9bf081883e133d3f5f09dba717f20929c89af,2.0,2.0,8,2
1393597c32770adbe560dad47b3d91b33bd55b715d91e29531eb4de2a6ce7c82,1.25,1.25,6,2
13c447687aadbff9013b724cd24dd3c7410b5277d37342f12011d05d3e27284a,2.5,2.5,2,2
14a536e2f63a5ca613dec6091c16b481099530b9994dda8fb0688ae5dfb424e8,3.0,3.0,2,1
14cb0f0779358eabfb65a689cf88069764c85dad6c02016517d60cd0381dcdb5,2.0,2.0,5,2
15af231e00be25afc90eb50f3b2ec2495e6e308d5593565ce57177a7644daa3d,2.0,2.0,7,4
16266fba06db600ea92c4362a05cd6b444b7ce1a1b21e16241ccc16e81c7d241,3.0,3.0,6,2
1692fb2ed5671a6b7380cb65c262999071a35cda71faab24598fa2c74f626997,2.0,2.0,7,2
16a820733fdf158addbb8b2ef5edd1b119756264fe569c115e4e3787f8cca0da,2.0,2.0,4,1
171baa64eec95b7c8e67d25471562ab5d408486814410c487f3f1153cbdf8a39,2.5,2.5,3,2
1759b2a3e873be69d7425a330a12fc0c40c16bc45b92285798e104cc7bafa434,1.0,1.0,4,2
17686e9c3a2e2e32aba0b76f688fce66cc332186a5fdfbe3e9b51e9434dbe44e,1.25,1.25,4,1
17c65da4b8b9a857d87c250ba32c895ddddef811fa55bae29c23b29e5a94054d,1.25,1.25,7,3
182659c8548dd675050d36261289374ac7fd9baba6af817ddcec3409c7280e64,2.5,2.5,0,0
18834c1a7153f09bb752934142f689cf0af2e37753faf76ed069c91c80b291be,2.0,2.0,2,2
18ded0043a796f67919f0ec8270434967518a8a74a7285ffcef065606d45574a,2.5,2.5,4,1
18f59c6d2b69fcbabb23a31c6cd0345a82bd962c4033dcf080a59b0d730d132d,1.25,1.25,17,5
195daf2584db59cbff9ce9d0f41fcc8e233e01b80385d62c26e1c1ccf228612b,2.0,2.0,6,3
196c43273206a0bf0ea61abf851bfe2627e117212bc734ac21fa4f579f457855,2.5,2.5,5,2
198b926aa683c91872316225b6a043342224b93fa865734f6bccd8990616f4a1,2.5,2.5,4,1
1a22d4f369a5affba3e9133e196df7e54d9f0f1fc6eaae649466328d3be14d32,1.0,1.0,8,5
1a259fc000151bc621a8396138e5e1b5cf170d8660e36dff59be3d4375ea8bef,1.25,1.25,4,1
1a3e350f0981c2669ae50ece1e686f7d484265100d64c0c0b88c928b325b736a,2.5,0.9685512225000001,13,4
1a821d53e86c5e374fce967017f38fb9d906722719b16a6c2aea27c7c70accba,2.5,2.5,0,0
1af09f0bb2e6117bcfcb9051151f78f867c1a7342eeac33e33e3b1c1d93660c3,3.0,3.0,12,6
1b6aaf1e31fab17ba20bf1bca98c32f2e053c7ed2b7ce7b65b63289be25d3d8c,2.5,2.5,0,0
1be0e8d89d406f3e4bdeb2ce8dc0cc7cb6cbc0626bf5238f37f39c56996fab79,1.25,1.25,6,2
1be72813fdc23e5629ba4300094a6234d80ea6deca140b5eceddf7b352dd5de6,1.25,1.25,12,6
1bede1b64557d7f0e98cde80a2e8c04b6324b43e1840f104a2f30d825cef7cd4,2.0,2.0,3,3
1c167dca37d699d8c8fcb4cf1c7fa5a5d74979d8a85f9d9ccca91023e1f90b75,2.5,2.5,35,15
1c6656b662ed8f30fed9777f1de77d4d4cc0df9d2dd769a38de27739b62b07da,1.0,1.0,10,4
1c85cb86cfc3040587be3252125907bdea87cdd1b07d37dc30269efe447dc010,2.0,2.0,11,4
1c8c2ba61c554479b651bda85e3b5b574de423a34cdf606167ba823fb95caf62,0.9,0.9,7,2
1ca777881c4c8778756f36dfe50c91663b5ea8a32043646faed679e2c0dd9ef5,3.0,3.0,40,16
1cc46263006bf98a0d0400d9e7de3402467744975d0f442a654a5c99016c3d6a,2.5,2.5,0,0
1cf90ae1f109d51952ac745035dba52cc10776cdb1d2f90a7520dd937241a88e,2.0,2.0,3,1
1d285799741f9fac0a07bfb90614999cc6aad0fe75ac3f53dabaf14d6df10379,1.25,1.25,5,2
1d2ca96e12971ad9da3ea9ee1f8e35bcb1b09674133ef9fc978f164d2ea673f1,3.0,3.0,0,0
1db053457ba909c4ce98407e5546fc0f97396b0b53dfd569facb4fbfd44e4a06,1.25,1.25,3,1
1db5f56e5bacb771e7542a20ee5906cf8379d57ed8e33ec2ebca3eaab440ad51,3.0,0.10301051460877544,8,2
1db608ab5c1f5fe6b5836c03e3ac0d113661ddee19cba73a773caaecb3b8800f,2.5,2.5,2,2
1e1beffc25d73674e5a46734965aa2eff47c54a3c98f1f4ddfaaeff3dbee78a9,2.5,2.5,19,7
1e212286961fff776f9afa3c1d12919603409ae742fc4650db3f37b037fc4f44,5.0,5.0,15,5
1e447745bde1ef88926cf4e13f28029999f727e5f31aec9639d127059bfda95f,1.25,1.25,12,4
1e4dcce6c155c1adee7f71aa7567fe90f67b5ed8f7c89ac1b363c43c23cbdbd3,1.25,1.25,2,1
1e5528d26faec3ae37ab403976b694bdab9cb7b513780ef9aa358c06998ed049,2.5,2.5,0,0
1eca9b4b3168e1149939a3fb240a936c532c73259980b44ef1c5848daee2f45f,1.25,1.25,2,1
1f017ff54a609ee20f88934d03bc9a0c3463be5d9ac2690a50074122f2732dc6,1.25,1.25,8,3
1f1de45079e055dca6d40fb53675cb5134da52a097e326e5bb9bde82a2c8d549,1.25,1.25,7,3
1f253b3bceb09b6d447dd74ff297db6320cfa3dab0b619e00716922d9ece15be,1.25,1.25,16,6
1f654505dab9efafc031754ef7651144cfef628b30f2f9d78cac7a15ae259e55,1.25,1.25,5,2
1fcfd3d511ef866e9648a9b7f24c22ad99237e09dfb68c7c4c13afad6d6353e9,1.25,1.25,7,3
200afb71e91f7522f43a185802a6d583885738175fec9770379f5b6a29f8743d,3.0,3.0,13,7
2012b93ba19247f10a4e56da6464cc98ecd3cbc1083f04452b70b575e37ce2a8,2.5,2.5,0,0
2027f74b4a33aea26184a8844382594250b4d7a80a72fa600a3c8b746bce0dad,1.25,1.25,6,2
20bf2c973db54894bb104a89b9e0fbde71cbf5c7288128919ae97c28378f79d8,3.0,3.0,21,10
2113138c31bd1009fed071d99788414af9ee468a161ef7ed877b7dc327c1a971,1.25,1.25,4,1
21dbc35ad55b0aba6242e4e8d7b73c3aed8166c454cf549384f2dd7d6f9ab0f2,2.5,2.5,13,4
21f6364cf9c064130e7f5e4222e0365bfea4b9358997f28343e15c91e7877150,2.5,2.5,0,0
222ebdeaa4fbca86d719338e1bf7ac91ed9e30bbbe16140a7f1a85f1575e5212,1.25,1.25,27,10
224185d39f308c7157db8a170b8e54b19da9c457a1c87ba36540615dd10a2bf2,2.0,2.0,13,8
2358a3f7dd40791e94b4ec8ba9b83ddbdd368e2c689a714941e2042259bd082a,2.5,2.5,0,0
23692ee2dd09a06f9c0131ad63e50177715687ea0bcdde2b9f0537f2e642a97d,2.5,2.5,1,1
238376553a056457adda473a2856e7bedf3d32853646d225f44c6ff3aea0ea87,0.75,0.75,5,2
240fe9fcf22fb6df7736d2048fa472cf00eac9971beb14a5818c164dfb70ea93,3.0,3.0,9,3
24ccf4547770196b780bcf6d361826d6a3aeab8bcd7737d3f46549e8cd574cb1,1.25,1.25,10,3
252bea0ced4dd390d105d4e375bb7a7d7725a5efd506148ed48e4a8cc3c2fc91,1.25,1.25,12,3
25321c8f49c0740e9554ee83264d560eee5adbca31133c7b97de4aa626a4efd0,2.5,2.5,1,1
2543a59b8c362bcc23042e50e02b7e7bcd01f403fd30c0dc885603cfbae6ae5b,2.5,2.5,10,3
25834fcbc80daad9d321ed210e5e81f83a90a0b356333b6c5e1f4901f5b7d89b,0.75,0.75,2,1
25beea9001f80d2acc480e9fa1e3f0804d297f5557b6cb25ae297b2b7c2d9ff5,2.5,2.5,3,1
25ce7f3ccbd0bb4c08e47ca0b8644355553900060fb1476dd17e37554c8510a2,3.0,3.0,5,2
25f8c0b44995cd9558e059eecd6a083be3c8b9b5434ea947f6442132fdd2e3ba,1.25,1.25,2,1
260424e90fa3c679ef87ea2d079097574088505d19a28d0aa7e7f624bdb66dc5,2.5,2.5,0,0
262f4cc84d2f5424611ecb410d9b24d2a8e06bdd71ad8297344a2692ee5c8722,1.25,1.25,22,6
263d9e9d351840bb041daee3e49a926f5c60089479ac410f137e416058241d99,2.5,2.5,0,0
26b0c83c8ba9df4fe6987ec4e5a552f92716365ce539336bf8f1adae4a6b9645,2.5,2.5,6,5
26f224738d03b9ad2b7fdef57af563c6311d9e0d18e1a4738ed197f8bbe30064,1.25,1.25,12,4
26f59133a54dd07bf4aea354c2da1fa4ee84a48e958ee72c20dc6ca334c365d1,2.5,2.5,9,3
2705ba2b166cc142cbeb39888af71cedc1b783449526237e493f8d8c65fd7135,2.5,2.5,5,3
27454b8290da407deec4936e178f53c9ba970f118c05a0d7c4115cc67853e628,2.5,2.5,1,1
27652f2e8443f12b34a26836b759e07840b6e006b00c42ec2319b6f3411aa8a1,1.25,1.25,0,0
27989dfbe53765283accb68a08c0493c7968f12f13cf99330f1460c170b1e9bc,1.25,1.25,1,1
279f2141517aa8def3dd202bc3e8c328c0cf5a28a358b53fda80c55ddb7a1d6d,0.6,0.6,5,2
27dce1aa960f6f54d14a7c9a77d15db3cba7fa043b113b814c003c9e9ad1c94c,1.25,1.25,11,4
27f593c77af10614cb853b72f930a65af7c589d0add1fdaf35a44e2793076f48,1.25,1.25,12,4
28374f246b0afee052b4ef9d1f8f71584bd3cb90960c955db7264439b6451a23,2.5,2.5,10,4
286091ee82f5c8648d6e7694bb9f15570b1e8d53d38a362a9117ef30e96c0f1f,2.5,2.5,25,7
2878b3fea6922634691b9c77b8a2a715c2c83b92d4e1ad49aa2b0a628dd71e91,3.0,3.0,11,6
28cac77d0d68b9338cf7a29bc384be426ea6dd965d93914049844002bdc346b0,1.25,1.25,13,5
28e8736c0a1c9f598509bbddc9919a8109502fac0a5a5ef1ae3bb567519be243,2.5,2.5,6,3
292e00cea918314abd5f98b1e1de7907f8ccae82d74498d838ec88a59e256d69,2.0,2.0,2,1
2973ebb3db97191dd58017af201aaf32845c5c4a2e8d808f76b29865f1725fa5,1.25,1.25,10,3
2986ca14c24687330bfa653fb1bc72aec2c981b4f1287a4e45d0b9accd52e7e8,1.25,1.25,8,3
299cf3168f8f5d12ed467cf96a5b256bc7ea01b161ce4da3d2a7bbc5b63afdc6,2.5,2.5,6,2
29babd5a963aa3c43fdf91a2a9c3fa58d281fc1a1c4f71ec5ed68a0fc531b92c,2.5,2.5,4,1
2ade5c088b4e1fa51fc41f7cfa80bf59c1ab78614749a7090b347e9efa0b9840,2.5,2.5,4,1
2b177dd4d5bc9604a175dd5378fc8274a0e95588f62c90474c29d4e99ccb3a4c,1.25,1.25,13,8
2b62815e48e430bc75f72b15212f6301ca81888bc86083ace80cd89a4e9bef9c,2.0,2.0,8,2
2b6e1f154035b30483c0327bd2db20b0f5b3ade0f07d4339e450edd917d46fdc,2.0,2.0,9,3
2bc34633fe4384311b1f4b4b448dbcb9b3d7e4801f04ee04e98da3cf5723a352,2.0,2.0,25,13
2bf12b9e18b199e76ad17b5625087531a99b54b8917a377ae8af263cadfe20a9,1.25,1.25,28,9
2c1814d3d4b0d12dff142869fa8d89c204972be542524fb6ae7ca0b5ceef0dd7,3.0,3.0,0,0
2c543c5965b1e2bd80ac62fb67e85793cc141870f25c689dd85923862ad765e2,3.0,3.0,27,8
2c580ff3e63697d33d741191c828acf0657957e01b99283b3f0f856512feeeaf,1.25,1.25,3,2
2cb3bf035775a817864be63553fb698ac9f6c0792da5e7c783800768eb2bc06a,1.0,1.0,0,0
2cb7eb05836ccc155ea4610bef547b28df898abf9c05416e54e7ea644ea3b55c,2.0,2.0,10,4
2ceecfdc0754d62bdc36030e2a49a486552b0c874eda1522b02234e54f7d59e8,2.0,2.0,4,2
2d042d4b4317ef6964e9206c18a44ad56ab6aaf3c1178e7112eb67e35dc7f3e1,1.25,1.25,7,3
2d1789dde75a18d38430be72a04fb6542f9cccab32362269cee8051e7f2f69b5,1.25,1.25,4,1
2d18761c520c3474df2a991e4294d802f6b3dc8b95e9f287f06e3a70621c5e2c,1.25,1.25,7,3
2d1ad1ca09aa98dcdddf4ccdb5d754420cd63a38a84434c1f9d1f770d0773657,2.5,2.5,4,2
2d41466ef48eb162f60e10913c84585eef5d2a19a77713e43094dcdd8f969c38,1.0,1.0,10,4
2de448a467e0fc9eb71e7382d7c400d3bb20fe52bd7eb05cb67d6457fb2cc9f8,1.25,1.25,48,15
2e3a158b754ff30f85cc348e9cde2a989c8fd1dc39981347265c2eaa4a7879bf,1.0,1.0,4,1
2e3cbc11b4710be4b90f5a669d8b04f99557847c0011fe6bd0e6402fb58326cd,2.0,2.0,9,3
2f06122d009f2db9070c39d3e5274889f2a73b711376490fa6b1b0f673b2fd1a,0.6,0.6,4,1
2f697ae7a7f78e87abd4815441812809d932f50ba5ef40ac73b2e09c788395a6,2.0,2.0,12,7
2f732626edc654f2fbfe9d656253257314a820fb4a6717e8b04dafe15ca049ed,2.5,2.5,6,2
303d74dc635596adb62fafe0b8003b99ccb2bc2185e916daef1b9a9d6ee98b90,2.5,2.5,25,9
303da103c4f1da484a92bdc35db5e01af8b35104ccefd2ebdc9a094186066ffe,2.5,2.5,4,1
3060bf4575f9dfe8fb9b604af06dcd2d02b4501f2e16fbf2fc7b47829535ca87,2.0,2.0,7,2
30b068ca5b1034523002f6c38e1afdf979274069698e773fbb1a0e89d1dc833e,1.25,1.25,2,1
30d6acd500c74f0c57a1b92eb1ca79f006e55dbccae040c7b2c750354517fa1d,2.5,0.9685512225000001,18,6
311843f7fdadcea9da0d5a233524febf0469d7998950ac86f94a4bd3e0f09f46,1.25,1.25,0,0
314db4b466e9557f7c4a5021460e131269cd9dceab0d0493bc46471b073671aa,1.25,1.25,0,0
3197ba2d1d4db687ea8804b9c773af99f3fb9dd6fdae10ff3f610fcd77ac3d87,2.5,2.5,0,0
31da7c70169a0d38f7c5d279d4ac52a9f74891022909a1598ba4980e93f837bf,2.5,2.5,9,4
31f17c337054fd51b313040eba7dc5361bb83ed3a6655838427311a4d5103865,2.0,2.0,4,3
31f64b38b29a5e2ca4cdd3867ce806badf8283bb2f2f236e0031fe6e761e8949,1.0,1.0,8,3
32fcb79af74e02538d742a6da24dbc9051bf34ba2fdaefbdb4ade36360b4030b,1.0,1.0,2,1
3378a7aeec097161be0e7452301ef023ad30bf96a0aea4874e595250cf6c2262,2.5,2.5,20,6
33d60114c8b0ff2c6847859b76e5a678c2d0b29c8396360bd0f2eeb4463fb903,1.25,1.25,3,1
3428ffbf077a4b63dd41214cb76b500f54ea9e8f4f3366512e16a2cc6d0072f8,1.25,1.25,5,2
342c3561b4370452e3ee2abb470f3f4c4d887585052f9bb62c516ab2640cbe66,3.0,3.0,4,1
34670a862df4c8a3f68a7c9c7d573f8cd666cd748a5343f2bfeb8c3d6e539dc4,2.5,2.5,4,1
349db9d825bb29ae6bf07b8d28c89888c41536426f25e9f389b9956a30d1d963,1.25,1.25,5,2
34cc9a4041b630787bf4f10c640409468cc2aeed1804f6e4b3c870ae72fefe99,1.25,1.25,1,1
3584699f35e4a3ae184f7be398d3356649b92c7d2902e7ac9b8b04d7fb91ed6e,1.25,1.25,7,2
358eb4579f9f9ec93452fad8f4b6da5ef961a5260ad7474ac8ee8b259e609cad,2.5,2.5,4,1
35cae43beaf79d9fcea61e927b1a2f834c0c9f9f3190dd297239510f2b626519,5.0,5.0,4,1
362a67f731b1e4a041db55f7273b41444cd2acdab7ca76f5b7cda931ef6877ac,2.5,2.5,1,1
363f0e9fb85c2b357fa7fedcf357b05da90b3d390067837e91df824047db2193,2.5,2.5,3,1
3655669d8078d4046dad0c5517da165dd9370df7a8f0f8ba4cdcbd864e39b76a,1.25,1.25,12,3
365d3c1228a4a2cfe8dcbd9edcb49e4c7b6ef0b869664d292de4b75d334d9bf4,2.0,2.0,7,3
368ad1a682f9f402dba29d3fb007558cfde7e12165daff38ecf0e28ac2af56a3,2.5,2.5,5,2
36a84e6f5cc2435e5b71ec23fcaa505885e44136ad58caa278ea0eb65eb68c1a,3.0,3.0,12,6
36e80f357cd904fa0d03c8c16d490bcec45205b18227ad8a1d44c40f1776bad5,2.5,1.3286025000000001,21,8
37164c090625debc8411e91fe1f9cd593820e1d2e641c1c41ee0cd86fbdc3500,1.25,1.25,5,2
3739ba78fbaba6efdb39393ca7585ab55041a828d24dd70958ef225e11684d16,1.25,1.25,2,1
3744aee41a45ca756b32c26de93942fe5fc58733978a98d113c5c769f8412acc,1.25,1.25,7,2
374cc0ec0745d2f7fe361908ac1b18771462999f009f383829dd4b56dcac98ba,2.5,2.5,3,2
37700b636d1bc241d6d05205e39749e62fce626f211d9ce26f11fec5315d00f9,2.5,2.5,7,3
37d1247afc042d0c91683a1a1c7f6ea6606586fb0623a99c893fa25dc781b44e,3.0,3.0,3,1
387145ebb5f466325c6e425ca785e3a24ae26d00dc072c87fb0b2a3df2d21e25,2.5,2.5,0,0
388094224f11ab37e7bbc726b0f1653609506395a8217e655008488297583348,2.0,2.0,4,1
389a184725373bd773615615f807a42664f88f19318ecbf97f626257f3e1a928,2.5,2.5,4,1
38d4771f94d88af332d3bf18a10f3599a01fece85bf48e8a6fd847d5a0c768a4,2.5,2.5,0,0
3905ed3874b8b90767a675794793b57eec3a7d2c736f223b23da426d37333eb9,2.5,2.5,1,1
391e169b20d345221c6df6a16ba57694c4f86cf79df4783354909bf50a7735c8,2.5,2.5,7,3
3954138ff967e7594a9c949c86bbfce5bfb577a684b32e9586d5e3c8a914326d,1.0,1.0,12,4
396dfe2c125194d789126868774291681a1d6b23fb947479a6b7c9fd623f9d30,2.5,2.5,1,1
39bc3b4db11168b77b50d44990bc0c9d97f958c64333f01b02d7f61d7a7e81c8,1.25,1.25,0,0
3a048b6cf0bee54031498ba1090d47e6461f19c15d149e07fb2fd912060cf6fa,2.0,0.1046695266054722,5,1
3a31060c769081075c54b6b1f60ecb8a4be9f179d8b7b1b3ed57cb600c25a33e,2.5,2.5,2,1
3a4cc98155659f5602eed88eb3d316b3c1f1023064a731185d0d89048d2a1dc0,2.5,2.5,3,1
3a6a03cbc69cdc7fdffbc8d4dbbd2aea38178bf10bc3c1e6f25f9549a0313218,2.0,2.0,15,7
3a6d848a60f9477687ef7bf6bb1539eaa791a1ce332c591e3a9ca63d99617709,1.25,0.91125,8,2
3ad056003cd93069aec5fa58d64b86f3b783d5f1fff102283dc770be0640df76,2.5,2.5,0,0
3b5475f748d4a6cef30a77f95a1c8b667b25ffdf5c729a062b8634fe90536ea8,1.25,1.25,5,2
3b6d36ff3f1c8bba3db3e7f28da97112564441a8634045edc079948e1793783f,2.5,2.5,10,3
3b8f019c5347e9f6e0e15634dd80e49b126068f07ebdd6b0fc590c7fca3d8cc8,1.25,1.25,4,1
3bcefd7858fcdc7b8c2da726999d6137cf04997333cd174bd95b338ccfbd28c9,2.5,2.5,17,5
3c10230e4aee32f987244f69433840d34dce3efa532a626cbb2bb6b22567fe24,2.0,2.0,3,2
3c1590d56aa96ddda3272cf21f18117d938429fdc165ec206a4999292a9d0dd7,2.5,2.5,4,1
3c786c28b480ccbec9e0bf3622a8dd06788e505127cc07f1a912fbceb7a53cfa,1.25,1.25,9,3
3d1333bd35e55a1e75162691e16599cc578f98e7a101318b9785e72e6889f4ae,1.25,1.25,9,4
3d46823a791d030985f0b7d2ac8c3aa2a40fe4d7cd34c96e9a9840d384395799,2.0,2.0,7,2
3d581f71363a39cb648c352ddf1929416302f99fc62fa58feef1c78cb0f1ab20,1.25,1.25,7,2
3dde8b247c58804bf928f6a547815b0c2d08ced7633a45156e03f7b3b9232c11,2.5,2.5,21,6
3dfc344e1fc1d2efd8dd55a49da5c8d29e85b04b0e6a79965f3101ffe25bf6b6,2.0,2.0,0,0
3e2ea34d664105f309bb3f63a3a79f3a37d260da21786c671c1513f9c9da0098,2.5,2.5,8,2
3e6a9da8997c0740e9d064e0adad676871d87ca6aa0cf4cea5340a9eee068924,1.25,1.25,12,5
3eca9f58c2280780c24f934c0a88cefd77bb7d85f8c550f17c7886153114799f,3.0,3.0,0,0
